"Label (Grouping)","Occupied housing units","Occupied housing units!!UNITS IN STRUCTURE","Occupied housing units!!UNITS IN STRUCTURE!!1, detached","Occupied housing units!!UNITS IN STRUCTURE!!1, attached","Occupied housing units!!UNITS IN STRUCTURE!!2 apartments","Occupied housing units!!UNITS IN STRUCTURE!!3 or 4 apartments","Occupied housing units!!UNITS IN STRUCTURE!!5 to 9 apartments","Occupied housing units!!UNITS IN STRUCTURE!!10 or more apartments","Occupied housing units!!UNITS IN STRUCTURE!!Mobile home or other type of housing","Occupied housing units!!YEAR STRUCTURE BUILT","Occupied housing units!!YEAR STRUCTURE BUILT!!2020 or later","Occupied housing units!!YEAR STRUCTURE BUILT!!2010 to 2019","Occupied housing units!!YEAR STRUCTURE BUILT!!2000 to 2009","Occupied housing units!!YEAR STRUCTURE BUILT!!1980 to 1999","Occupied housing units!!YEAR STRUCTURE BUILT!!1960 to 1979","Occupied housing units!!YEAR STRUCTURE BUILT!!1940 to 1959","Occupied housing units!!YEAR STRUCTURE BUILT!!1939 or earlier","Occupied housing units!!ROOMS","Occupied housing units!!ROOMS!!1 room","Occupied housing units!!ROOMS!!2 or 3 rooms","Occupied housing units!!ROOMS!!4 or 5 rooms","Occupied housing units!!ROOMS!!6 or 7 rooms","Occupied housing units!!ROOMS!!8 or more rooms","Occupied housing units!!BEDROOMS","Occupied housing units!!BEDROOMS!!No bedroom","Occupied housing units!!BEDROOMS!!1 bedroom","Occupied housing units!!BEDROOMS!!2 or 3 bedrooms","Occupied housing units!!BEDROOMS!!4 or more bedrooms","Occupied housing units!!COMPLETE FACILITIES","Occupied housing units!!COMPLETE FACILITIES!!With complete plumbing facilities","Occupied housing units!!COMPLETE FACILITIES!!With complete kitchen facilities","Occupied housing units!!VEHICLES AVAILABLE","Occupied housing units!!VEHICLES AVAILABLE!!No vehicle available","Occupied housing units!!VEHICLES AVAILABLE!!1 vehicle available","Occupied housing units!!VEHICLES AVAILABLE!!2 vehicles available","Occupied housing units!!VEHICLES AVAILABLE!!3 or more vehicles available","Occupied housing units!!TELEPHONE SERVICE AVAILABLE","Occupied housing units!!TELEPHONE SERVICE AVAILABLE!!With telephone service","Occupied housing units!!HOUSE HEATING FUEL","Occupied housing units!!HOUSE HEATING FUEL!!Utility gas","Occupied housing units!!HOUSE HEATING FUEL!!Bottled, tank, or LP gas","Occupied housing units!!HOUSE HEATING FUEL!!Electricity","Occupied housing units!!HOUSE HEATING FUEL!!Fuel oil, kerosene, etc.","Occupied housing units!!HOUSE HEATING FUEL!!Coal or coke","Occupied housing units!!HOUSE HEATING FUEL!!All other fuels","Occupied housing units!!HOUSE HEATING FUEL!!No fuel used"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","319,565","","37,241","73,493","8,679","22,061","23,986","153,843","262","","2,340","41,741","21,025","22,186","56,132","72,288","103,853","","27,989","107,957","86,483","50,102","47,034","","32,099","105,000","143,567","38,899","","318,305","316,551","","115,007","145,584","47,399","11,575","","316,451","","160,024","3,540","142,056","4,391","0","3,483","6,071"
"        Margin of Error","±3,541","","±2,753","±3,814","±1,607","±2,583","±3,156","±5,101","±431","","±1,015","±3,248","±2,326","±2,821","±4,521","±4,734","±4,812","","±2,870","±4,998","±5,130","±3,406","±2,941","","±3,052","±4,832","±4,919","±3,087","","±3,655","±3,691","","±5,485","±5,278","±3,145","±1,742","","±3,397","","±5,821","±1,050","±6,132","±1,176","±236","±1,244","±1,453"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","319,565","","11.7%","23.0%","2.7%","6.9%","7.5%","48.1%","0.1%","","0.7%","13.1%","6.6%","6.9%","17.6%","22.6%","32.5%","","8.8%","33.8%","27.1%","15.7%","14.7%","","10.0%","32.9%","44.9%","12.2%","","99.6%","99.1%","","36.0%","45.6%","14.8%","3.6%","","99.0%","","50.1%","1.1%","44.5%","1.4%","0.0%","1.1%","1.9%"
"        Margin of Error","±3,541","","±0.9","±1.2","±0.5","±0.8","±1.0","±1.5","±0.1","","±0.3","±1.0","±0.7","±0.9","±1.4","±1.4","±1.5","","±0.9","±1.5","±1.6","±1.1","±0.9","","±0.9","±1.5","±1.4","±1.0","","±0.2","±0.3","","±1.7","±1.6","±1.0","±0.5","","±0.4","","±1.8","±0.3","±1.8","±0.4","±0.1","±0.4","±0.5"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","132,936","","30,569","57,022","3,510","4,982","4,443","32,410","0","","638","6,979","8,565","7,684","13,842","29,683","65,545","","2,690","19,653","33,388","37,206","39,999","","3,272","19,094","78,923","31,647","","132,749","132,526","","20,450","71,548","32,205","8,733","","132,071","","85,633","1,266","41,102","2,202","0","1,484","1,249"
"        Margin of Error","±4,071","","±2,384","±3,501","±1,118","±1,299","±1,084","±3,452","±236","","±468","±1,361","±1,341","±1,588","±1,912","±2,689","±3,493","","±1,056","±2,542","±3,025","±2,719","±2,235","","±1,177","±2,545","±4,125","±2,296","","±4,057","±4,077","","±2,303","±3,814","±2,518","±1,448","","±4,105","","±3,695","±558","±3,656","±760","±236","±805","±594"
