country,fh9800,fh90s,pol6670,pol70s,pol80s,pol90s,gdp90lgn,loggdp60s,loggdp70s,loggdp80s,muslimfish,islam,arab,catholic,opec,fuelavg,neighbors,polcomp7090,polcomp60s,polcomp70s,fatmids90s,fatmids60s,fatmids70s,fatmids80s,snew125fish,ltdf90pfish,wgvtnewfish,parl99,parl00,edrat97,edrat99,lifexp97,lifexp00,ecactr97,ecactr00,wommin00,litgap00,educgen,gini,urban
Afg,1,1.0999999,-7,-6.3000002,-7.1999998,-7.25,2.2504201,,,,1,1,0,0,0,0.024329731,-4.3800001,1.25,1.7,1.1,3,3,0,0,105.98,29,0,0,0,0.375,0.375,1.0118203,1.0117041,56.81818,56.81818,0,30,25.248951,0.33000001,20.665199
Alb,3.5,4.0999999,-9,-9,-8,4.1300001,2.925312,,6.8134084,6.8228993,1,0.69999999,0,0,0,0.00125485,3.5599999,1.2380953,1,1,4,0,0,0,92.580002,18,11,23.200001,23.1,1.0149254,1,1.0858369,1.0838069,73,73,15,7,71,0.44,37.900002
Alg,2.5,2.1500001,-9,-9,-7.5999999,-4.3800001,3.214314,6.9631629,7.3021126,7.4528589,1,0.99000001,1,0.007,1,0.24991687,0.72000003,1.5714285,1,1,0,0,0,1,102.09,27,6,3.8,3.4000001,0.90140843,0.92000002,1.0414815,1.0440528,36,39,0,17.9,72,0.34,57.200001
Ang,2,1.9000001,,-7,-7,-3,2.8241258,,6.5774598,6.487401,0,0,0,0.72600001,0,0.26519778,0.40000001,1,,1,1,0,1,0,101.21,28,11,15.5,15.5,0.86206895,0.83999997,1.0712695,1.0615034,84.300003,82,14.7,,23,0.44,32.299999
Arg,5.6666665,5.6500001,-9,-4.5,4.5999999,8,3.762078,8.6909618,8.8946152,8.7977915,0,0,0,0.89899999,0,0.008489509,8.3000002,4.3333335,1.5,2.8,0,2,0,1,98.040001,0,9,22.799999,30.700001,1.0649351,1.075,1.1018652,1.1012839,45.299999,46,7.3000002,3.2,83,0.47,88.599998
Arm,4,3.9499998,,,,3,3.1878026,,,7.3408451,0,0,0,0,0,0.009601317,1.33,1.1428572,,,2,0,0,0,95.230003,3,4,6.3000002,3.0999999,0.9066667,0.93902439,1.0952381,1.0859599,88.300003,88,0,0.40000001,80,0.28,69.099998
Austria,7,7,10,10,10,10,4.4355416,9.4741316,9.8800859,10.104821,0,0,0,0.86299998,0,0.003137764,7.8200002,10,10,10,0,0,0,0,95.470001,0,7,24.700001,26.799999,0.98837209,0.98888886,1.0881954,1.082777,65.300003,65,31.299999,0,90,0.22,64.400002
Austrl,7,7,10,10,10,10,4.255827,9.3839827,9.608429,9.7642841,0,0,0,0.31999999,0,0.029388679,7.8200002,10,10,10,0,0,0,0,99.370003,0,17,25.9,25.9,1,1,1.0741721,1.0741721,75.400002,75.400002,14.7,0,100,0.34,84.599998
Aze,2.8333333,2.5999999,,,,-4.1300001,3.0281644,,,,1,0.85000002,0,0,0,0.17830758,0.75999999,1.1428572,,,2,0,0,0,94.919998,3,6,12,10.5,1.057971,1.0285715,1.1312977,1.1029412,76.199997,75,2.5999999,0,71,0.28,56.299999
Bahr,1.5,1.85,,-9.3999996,-10,-9.25,3.9320168,,9.288331,9.0401812,1,1,1,0.008,0,0.48838738,-7.4699998,1.1,,1.2,0,0,0,0,129.77,12,1,19.6,19.6,1.084507,1.0779221,1.093617,1.0586592,85.099998,39,18.799999,8.3999996,80,0.36000001,87.400002
