"State","MSN","2021"
"AK","ESACB",0.00
"AK","ESACD",0.00
"AK","ESACP",0.00
"AK","ESACV",0.00
"AK","ESCCB",8730.00
"AK","ESCCD",57.46
"AK","ESCCP",2559.00
"AK","ESCCV",501.70
"AK","ESICB",4527.00
"AK","ESICD",49.39
"AK","ESICP",1327.00
"AK","ESICV",210.90
"AK","ESRCB",7110.00
"AK","ESRCD",66.09
"AK","ESRCP",2084.00
"AK","ESRCV",469.90
"AK","ESTCB",20367.00
"AK","ESTCD",58.80
"AK","ESTCP",5969.00
"AK","ESTCV",1182.50
"AL","ESACB",0.00
"AL","ESACD",0.00
"AL","ESACP",0.00
"AL","ESACV",0.00
"AL","ESCCB",74533.00
"AL","ESCCD",34.71
"AL","ESCCP",21844.00
"AL","ESCCV",2587.00
"AL","ESICB",109715.00
"AL","ESICD",18.54
"AL","ESICP",32156.00
"AL","ESICV",2012.60
"AL","ESRCB",107769.00
"AL","ESRCD",37.97
"AL","ESRCP",31585.00
"AL","ESRCV",4092.40
"AL","ESTCB",292017.00
"AL","ESTCD",29.88
"AL","ESTCP",85585.00
"AL","ESTCV",8691.90
"AR","ESACB",1.00
"AR","ESACD",39.74
"AR","ESACP",0.00
"AR","ESACV",0.00
"AR","ESCCB",39296.00
"AR","ESCCD",28.03
"AR","ESCCP",11517.00
"AR","ESCCV",1101.40
"AR","ESICB",62194.00
"AR","ESICD",19.24
"AR","ESICP",18228.00
"AR","ESICV",1184.20
"AR","ESRCB",64548.00
"AR","ESRCD",33.03
"AR","ESRCP",18918.00
"AR","ESRCV",2131.70
"AR","ESTCB",166039.00
"AR","ESTCD",26.71
"AR","ESTCP",48663.00
"AR","ESTCV",4417.40
"AZ","ESACB",36.00
"AZ","ESACD",27.35
"AZ","ESACP",11.00
"AZ","ESACV",1.00
"AZ","ESCCB",102326.00
"AZ","ESCCD",30.28
"AZ","ESCCP",29990.00
"AZ","ESCCV",3098.80
"AZ","ESICB",48072.00
"AZ","ESICD",19.89
"AZ","ESICP",14089.00
"AZ","ESICV",956.20
"AZ","ESRCB",126689.00
"AZ","ESRCD",36.75
"AZ","ESRCP",37130.00
"AZ","ESRCV",4655.90
"AZ","ESTCB",277123.00
"AZ","ESTCD",31.44
"AZ","ESTCP",81220.00
"AZ","ESTCV",8711.90
"CA","ESACB",2118.00
"CA","ESACD",34.57
"CA","ESACP",621.00
"CA","ESACV",73.20
"CA","ESCCB",371095.00
"CA","ESCCD",56.21
"CA","ESCCP",108762.00
"CA","ESCCV",20861.10
"CA","ESICB",162354.00
"CA","ESICD",43.43
"CA","ESICP",47583.00
"CA","ESICV",6665.00
"CA","ESRCB",308049.00
"CA","ESRCD",66.89
"CA","ESRCP",90284.00
"CA","ESRCV",20604.40
"CA","ESTCB",843617.00
"CA","ESTCD",57.75
"CA","ESTCP",247250.00
"CA","ESTCV",48203.70
"CO","ESACB",302.00
"CO","ESACD",27.67
"CO","ESACP",89.00
"CO","ESACV",8.40
"CO","ESCCB",70234.00
"CO","ESCCD",31.78
"CO","ESCCP",20584.00
"CO","ESCCV",2232.30
"CO","ESICB",51361.00
"CO","ESICD",23.46
"CO","ESICP",15053.00
"CO","ESICV",1176.40
"CO","ESRCB",70373.00
"CO","ESRCD",38.31
"CO","ESRCP",20625.00
"CO","ESRCV",2696.10
"CO","ESTCB",192270.00
"CO","ESTCD",32.00
"CO","ESTCP",56351.00
"CO","ESTCV",6113.20
"CT","ESACB",495.00
"CT","ESACD",36.63
"CT","ESACP",145.00
"CT","ESACV",18.10
"CT","ESCCB",39924.00
"CT","ESCCD",48.25
"CT","ESCCP",11701.00
"CT","ESCCV",1926.20
"CT","ESICB",9551.00
"CT","ESICD",28.24
"CT","ESICP",2799.00
"CT","ESICV",269.70
"CT","ESRCB",44670.00
"CT","ESRCD",64.21
"CT","ESRCP",13092.00
"CT","ESRCV",2868.40
"CT","ESTCB",94641.00
"CT","ESTCD",53.70
"CT","ESTCP",27738.00
"CT","ESTCV",5082.40
"DC","ESACB",928.00
"DC","ESACD",28.59
"DC","ESACP",272.00
"DC","ESACV",26.50
"DC","ESCCB",24033.00
"DC","ESCCD",38.09
"DC","ESCCP",7044.00
"DC","ESCCV",915.40
"DC","ESICB",817.00
"DC","ESICD",23.05
"DC","ESICP",240.00
"DC","ESICV",18.80
"DC","ESRCB",8626.00
"DC","ESRCD",38.36
"DC","ESRCP",2528.00
"DC","ESRCV",330.90
"DC","ESTCB",34404.00
"DC","ESTCD",37.54
"DC","ESTCP",10083.00
"DC","ESTCV",1291.70
"DE","ESACB",0.00
"DE","ESACD",0.00
"DE","ESACP",0.00
"DE","ESACV",0.00
"DE","ESCCB",14318.00
"DE","ESCCD",27.80
"DE","ESCCP",4196.00
"DE","ESCCV",398.00
"DE","ESICB",7210.00
"DE","ESICD",22.27
"DE","ESICP",2113.00
"DE","ESICV",131.90
"DE","ESRCB",17641.00
"DE","ESRCD",36.68
"DE","ESRCP",5170.00
"DE","ESRCV",647.10
"DE","ESTCB",39169.00
"DE","ESTCD",31.07
"DE","ESTCP",11480.00
"DE","ESTCV",1177.00
"FL","ESACB",246.00
"FL","ESACD",24.37
"FL","ESACP",72.00
"FL","ESACV",6.00
"FL","ESCCB",320609.00
"FL","ESCCD",27.86
"FL","ESCCP",93965.00
"FL","ESCCV",8931.70
"FL","ESICB",58388.00
"FL","ESICD",22.41
"FL","ESICP",17113.00
"FL","ESICV",1308.50
"FL","ESRCB",444967.00
