"State","MSN","2021"
"AK","MGACB",30930.00
"AK","MGACD",34.62
"AK","MGACP",6125.00
"AK","MGACV",1070.90
"AK","MGCCB",536.00
"AK","MGCCD",34.62
"AK","MGCCP",106.00
"AK","MGCCV",18.50
"AK","MGICB",524.00
"AK","MGICD",34.62
"AK","MGICP",104.00
"AK","MGICV",18.20
"AK","MGTCB",31989.00
"AK","MGTCD",34.62
"AK","MGTCP",6335.00
"AK","MGTCV",1107.60
"AL","MGACB",375011.00
"AL","MGACD",22.28
"AL","MGACP",74260.00
"AL","MGACV",8356.00
"AL","MGCCB",5769.00
"AL","MGCCD",22.28
"AL","MGCCP",1142.00
"AL","MGCCV",128.60
"AL","MGICB",4391.00
"AL","MGICD",22.28
"AL","MGICP",869.00
"AL","MGICV",97.80
"AL","MGTCB",385172.00
"AL","MGTCD",22.28
"AL","MGTCP",76272.00
"AL","MGTCV",8582.40
"AR","MGACB",175515.00
"AR","MGACD",22.55
"AR","MGACP",34755.00
"AR","MGACV",3957.10
"AR","MGCCB",2793.00
"AR","MGCCD",22.55
"AR","MGCCP",553.00
"AR","MGCCV",63.00
"AR","MGICB",3742.00
"AR","MGICD",22.55
"AR","MGICP",741.00
"AR","MGICV",84.40
"AR","MGTCB",182051.00
"AR","MGTCD",22.55
"AR","MGTCP",36050.00
"AR","MGTCV",4104.50
"AZ","MGACB",334037.00
"AZ","MGACD",27.85
"AZ","MGACP",66146.00
"AZ","MGACV",9304.10
"AZ","MGCCB",9469.00
"AZ","MGCCD",27.85
"AZ","MGCCP",1875.00
"AZ","MGCCV",263.70
"AZ","MGICB",8883.00
"AZ","MGICD",27.85
"AZ","MGICP",1759.00
"AZ","MGICV",247.40
"AZ","MGTCB",352389.00
"AZ","MGTCD",27.85
"AZ","MGTCP",69780.00
"AZ","MGTCV",9815.30
"CA","MGACB",1529548.00
"CA","MGACD",32.46
"CA","MGACP",302881.00
"CA","MGACV",49654.60
"CA","MGCCB",53550.00
"CA","MGCCD",32.46
"CA","MGCCP",10604.00
"CA","MGCCV",1738.40
"CA","MGICB",30450.00
"CA","MGICD",32.46
"CA","MGICP",6030.00
"CA","MGICV",988.50
"CA","MGTCB",1613547.00
"CA","MGTCD",32.46
"CA","MGTCP",319514.00
"CA","MGTCV",52381.60
"CO","MGACB",258990.00
"CO","MGACD",26.55
"CO","MGACP",51285.00
"CO","MGACV",6877.20
"CO","MGCCB",7637.00
"CO","MGCCD",26.55
"CO","MGCCP",1512.00
"CO","MGCCV",202.80
"CO","MGICB",6082.00
"CO","MGICD",26.55
"CO","MGICP",1204.00
"CO","MGICV",161.50
"CO","MGTCB",272709.00
"CO","MGTCD",26.55
"CO","MGTCP",54002.00
"CO","MGTCV",7241.50
"CT","MGACB",156257.00
"CT","MGACD",25.12
"CT","MGACP",30942.00
"CT","MGACV",3925.40
"CT","MGCCB",4722.00
"CT","MGCCD",25.12
"CT","MGCCP",935.00
"CT","MGCCV",118.60
"CT","MGICB",1979.00
"CT","MGICD",25.12
"CT","MGICP",392.00
"CT","MGICV",49.70
"CT","MGTCB",162958.00
"CT","MGTCD",25.12
"CT","MGTCP",32269.00
"CT","MGTCV",4093.70
"DC","MGACB",11742.00
"DC","MGACD",26.24
"DC","MGACP",2325.00
"DC","MGACV",308.10
"DC","MGCCB",404.00
"DC","MGCCD",26.24
"DC","MGCCP",80.00
"DC","MGCCV",10.60
"DC","MGICB",189.00
"DC","MGICD",26.24
"DC","MGICP",37.00
"DC","MGICV",5.00
"DC","MGTCB",12335.00
"DC","MGTCD",26.24
"DC","MGTCP",2443.00
"DC","MGTCV",323.70
"DE","MGACB",56739.00
"DE","MGACD",24.95
"DE","MGACP",11235.00
"DE","MGACV",1415.60
"DE","MGCCB",1240.00
"DE","MGCCD",24.95
"DE","MGCCP",245.00
